time	count
0.00	0.00
11358.00	0.25
11374.00	0.00
11443.00	0.25
11444.00	0.00
11653.00	0.25
11661.00	0.50
11666.00	0.25
26861.00	0.00
27145.00	0.25
27178.00	0.00
27245.00	0.25
27247.00	0.00
27273.00	0.25
27285.00	0.00
27735.00	0.25
27739.00	0.00
28264.00	0.25
28326.00	0.50
28365.00	0.25
28439.00	0.00
28469.00	0.25
28473.00	0.00
28519.00	0.25
28521.00	0.00
28556.00	0.25
28557.00	0.00
28658.00	0.00
28763.00	0.25
28788.00	0.50
28791.00	0.25
28848.00	0.00
28880.00	0.25
28882.00	0.00
28917.00	0.25
28919.00	0.00
28948.00	0.25
28950.00	0.00
29015.00	0.25
29016.00	0.00
29105.00	0.25
29107.00	0.00
29113.00	0.25
29172.00	0.00
29198.00	0.25
29200.00	0.00
29237.00	0.25
29239.00	0.00
29277.00	0.25
29278.00	0.00
29343.00	0.00
29416.00	0.25
29440.00	0.50
29447.00	0.25
29554.00	0.00
29677.00	0.25
29678.00	0.00
29722.00	0.25
29723.00	0.00
29767.00	0.25
29768.00	0.00
29820.00	0.25
29821.00	0.00
29846.00	0.25
29848.00	0.00
30229.00	0.25
30248.00	0.50
30249.00	0.25
30274.00	0.50
30275.00	0.25
30358.00	0.50
30359.00	0.25
95028.00	0.00
95109.00	0.25
95112.00	0.50
95114.00	0.25
95138.00	0.50
95165.00	0.25
95198.00	0.00
95365.00	0.25
95366.00	0.00
95401.00	0.25
95403.00	0.00
95476.00	0.25
95477.00	0.00
95532.00	0.25
95535.00	0.00
95568.00	0.25
95569.00	0.00
95647.00	0.25
95674.00	0.50
95676.00	0.25
100882.00	0.00
100953.00	0.25
100957.00	0.00
101006.00	0.25
101007.00	0.00
101044.00	0.25
101046.00	0.00
101189.00	0.25
101190.00	0.00
101302.00	0.25
101327.00	0.50
101330.00	0.25
101432.00	0.00
101466.00	0.25
101476.00	0.00
101497.00	0.25
101504.00	0.00
101531.00	0.25
101532.00	0.00
101607.00	0.25
101610.00	0.00
101658.00	0.25
101659.00	0.00
101683.00	0.25
101685.00	0.00
101828.00	0.25
101839.00	0.50
101840.00	0.25
101865.00	0.50
101866.00	0.25
101896.00	0.50
101897.00	0.25
101971.00	0.25
102036.00	0.50
102051.00	0.75
102053.00	0.50
102120.00	0.25
102157.00	0.50
102159.00	0.25
102214.00	0.50
102223.00	0.25
102230.00	0.50
102231.00	0.25
102247.00	0.50
102253.00	0.25
102313.00	0.50
102314.00	0.25
102381.00	0.50
102399.00	0.75
102400.00	0.50
102517.00	0.75
102518.00	0.50
102536.00	0.25
102545.00	0.50
102546.00	0.25
102625.00	0.50
102626.00	0.25
102653.00	0.50
102665.00	0.25
102733.00	0.50
102734.00	0.25
102766.00	0.50
102768.00	0.25
102817.00	0.50
102819.00	0.25
102833.00	0.50
102834.00	0.25
102911.00	0.50
102912.00	0.25
102989.00	0.50
103005.00	0.75
103012.00	0.50
103020.00	0.25
103393.00	0.50
103395.00	0.25
103401.00	0.50
103405.00	0.25
103425.00	0.50
103448.00	0.75
103449.00	0.50
103477.00	0.75
103479.00	0.50
103493.00	0.75
103494.00	0.50
107009.00	0.25
107061.00	0.50
107079.00	0.25
107137.00	0.50
107140.00	0.25
107199.00	0.50
107200.00	0.25
113611.00	0.00
113662.00	0.25
113679.00	0.00
113683.00	0.25
113701.00	0.50
113704.00	0.25
140111.00	0.00
140163.00	0.25
140182.00	0.00
140194.00	0.25
140943.00	0.00
140997.00	0.25
141000.00	0.00
141068.00	0.25
141078.00	0.00
141086.00	0.25
141089.00	0.00
141146.00	0.25
141147.00	0.00
141170.00	0.25
141172.00	0.00
141187.00	0.25
141188.00	0.00
141299.00	0.25
141300.00	0.00
141417.00	0.25
141419.00	0.00
141432.00	0.25
141842.00	0.50
141857.00	0.25
141862.00	0.50
141863.00	0.25
141865.00	0.50
141866.00	0.25
141880.00	0.50
141881.00	0.25
141951.00	0.50
141952.00	0.25
142012.00	0.00
142113.00	0.25
142115.00	0.00
142138.00	0.25
142139.00	0.00
142195.00	0.25
142196.00	0.00
142204.00	0.25
142205.00	0.00
142228.00	0.00
142251.00	0.25
142252.00	0.00
142285.00	0.25
142286.00	0.00
142409.00	0.00
142553.00	0.25
142570.00	0.50
142572.00	0.25
142612.00	0.50
142613.00	0.25
142640.00	0.50
142641.00	0.25
142729.00	0.00
142761.00	0.25
142763.00	0.00
144462.00	0.25
144469.00	0.00
151953.00	0.25
151958.00	0.00
151966.00	0.25
151970.00	0.00
151975.00	0.25
151976.00	0.00
152000.00	0.25
152002.00	0.00
152024.00	0.25
152030.00	0.50
152031.00	0.25
152036.00	0.00
152061.00	0.25
152062.00	0.00
152088.00	0.25
152089.00	0.00
152112.00	0.25
152113.00	0.00
152118.00	0.25
152119.00	0.00
152123.00	0.25
152137.00	0.00
152140.00	0.25
152141.00	0.00
152145.00	0.25
152146.00	0.00
152148.00	0.25
152149.00	0.00
152163.00	0.25
152164.00	0.00
152180.00	0.25
152181.00	0.00
152195.00	0.25
152211.00	0.50
152212.00	0.25
152218.00	0.00
152236.00	0.25
152238.00	0.00
152251.00	0.25
152252.00	0.00
152274.00	0.25
152284.00	0.00
152287.00	0.25
152297.00	0.50
152298.00	0.25
152299.00	0.00
152314.00	0.25
152315.00	0.00
152330.00	0.25
152332.00	0.00
152347.00	0.25
152348.00	0.00
152367.00	0.25
152368.00	0.00
152382.00	0.25
152390.00	0.00
152397.00	0.25
152398.00	0.00
152419.00	0.25
152421.00	0.00
