time	count
0.00	0.00
11249.00	1.00
11291.00	0.00
11347.00	1.00
11414.00	0.00
11440.00	1.00
11653.00	0.00
26871.00	1.00
27091.00	0.00
27140.00	1.00
27224.00	0.00
27248.00	1.00
27255.00	0.00
27291.00	1.00
28299.00	0.00
28435.00	1.00
28444.00	0.00
28473.00	1.00
28499.00	0.00
28523.00	1.00
28539.00	0.00
28561.00	1.00
28765.00	0.00
28843.00	1.00
28855.00	0.00
28882.00	1.00
28896.00	0.00
28922.00	1.00
28933.00	0.00
28951.00	1.00
29014.00	0.00
29025.00	1.00
29081.00	0.00
29171.00	1.00
29176.00	0.00
29201.00	1.00
29217.00	0.00
29238.00	1.00
29256.00	0.00
29279.00	1.00
29343.00	0.00
29360.00	1.00
29408.00	0.00
29525.00	1.00
29651.00	0.00
29678.00	1.00
29701.00	0.00
29727.00	1.00
29749.00	0.00
29772.00	1.00
29802.00	0.00
29824.00	1.00
29825.00	0.00
29847.00	1.00
30231.00	0.00
30252.00	1.00
30260.00	0.00
30276.00	1.00
30338.00	0.00
95045.00	1.00
95091.00	0.00
95103.00	1.00
95327.00	0.00
95366.00	1.00
95380.00	0.00
95417.00	1.00
95456.00	0.00
95488.00	1.00
95503.00	0.00
95548.00	1.00
95550.00	0.00
95578.00	1.00
95644.00	0.00
100884.00	1.00
100901.00	0.00
100948.00	1.00
100984.00	0.00
101008.00	1.00
101025.00	0.00
101047.00	1.00
101304.00	0.00
101376.00	1.00
101443.00	0.00
101468.00	1.00
101480.00	0.00
101499.00	1.00
101515.00	0.00
101532.00	1.00
101571.00	0.00
101606.00	1.00
101623.00	0.00
101659.00	1.00
101662.00	0.00
101685.00	1.00
101828.00	0.00
101841.00	1.00
101849.00	0.00
101870.00	1.00
101881.00	0.00
101900.00	1.00
101971.00	0.00
101984.00	1.00
102035.00	0.00
102054.00	1.00
102135.00	0.00
102161.00	1.00
102179.00	0.00
102207.00	1.00
102216.00	0.00
102234.00	1.00
102235.00	0.00
102251.00	1.00
102314.00	0.00
102322.00	1.00
102382.00	0.00
102471.00	1.00
102502.00	0.00
102521.00	1.00
102531.00	0.00
102548.00	1.00
102603.00	0.00
102627.00	1.00
102636.00	0.00
102655.00	1.00
102706.00	0.00
102727.00	1.00
102735.00	0.00
102780.00	1.00
102797.00	0.00
102819.00	1.00
102820.00	0.00
102836.00	1.00
102988.00	0.00
103008.00	1.00
103372.00	0.00
103407.00	1.00
103430.00	0.00
103451.00	1.00
103461.00	0.00
103480.00	1.00
103481.00	0.00
103494.00	1.00
103535.00	0.00
103548.00	1.00
103550.00	0.00
107093.00	1.00
107108.00	0.00
107138.00	1.00
107182.00	0.00
113626.00	1.00
113643.00	0.00
113701.00	1.00
113752.00	0.00
113780.00	1.00
113781.00	0.00
140127.00	1.00
140145.00	0.00
140976.00	1.00
141018.00	0.00
141042.00	1.00
141051.00	0.00
141077.00	1.00
141120.00	0.00
141140.00	1.00
141155.00	0.00
141172.00	1.00
141175.00	0.00
141191.00	1.00
141398.00	0.00
141740.00	1.00
