time	count
0.00	0.00
27667.00	0.00
28630.00	0.00
28989.00	0.00
29316.00	0.00
101157.00	0.00
101945.00	0.00
102290.00	0.00
102878.00	0.00
141273.00	0.26
142384.00	0.26
3175841.00	0.26
3176242.00	0.26
3178256.00	0.26
3180741.00	0.26
3182892.00	0.26
3185107.00	0.26
3187289.00	0.26
3189918.00	0.26
3192736.00	0.26
3195739.00	0.26
3199518.00	0.26
3203079.00	0.26
3206341.00	0.26
3208628.00	0.26
3210817.00	0.26
3214627.00	0.26
3220318.00	0.26
3225104.00	0.26
3229505.00	0.26
3233992.00	0.26
3238761.00	0.26
3243062.00	0.26
3247658.00	0.26
3251613.00	0.26
3256962.00	0.26
3261550.00	0.26
3265946.00	0.26
3270344.00	0.26
3274700.00	0.26
3278484.00	0.26
3281153.00	0.26
3283722.00	0.26
3285965.00	0.26
3288432.00	0.26
3290725.00	0.26
3293271.00	0.26
3295640.00	0.26
3298134.00	0.26
3300453.00	0.26
3303128.00	0.26
3305633.00	0.26
3307872.00	0.26
3310253.00	0.26
3312696.00	0.26
3315223.00	0.26
3317731.00	0.26
3320152.00	0.26
3322932.00	0.26
3325467.00	0.26
3327938.00	0.26
3330331.00	0.26
3332643.00	0.26
3335151.00	0.26
3337680.00	0.26
3340327.00	0.26
3343474.00	0.26
3346057.00	0.26
3348358.00	0.26
3350873.00	0.26
3353485.00	0.26
3356255.00	0.26
3358818.00	0.26
3361448.00	0.26
3364303.00	0.26
3366944.00	0.26
3369670.00	0.26
3372307.00	0.26
3374756.00	0.26
3377142.00	0.26
3379703.00	0.26
3382224.00	0.26
3385019.00	0.26
3387397.00	0.26
3390058.00	0.26
3392638.00	0.26
3395087.00	0.26
3397564.00	0.26
3400113.00	0.26
3402383.00	0.26
3404986.00	0.26
3407454.00	0.26
3409967.00	0.26
3412403.00	0.26
3414671.00	0.26
3417168.00	0.26
3419550.00	0.26
3421897.00	0.26
3424600.00	0.26
3427357.00	0.26
3429888.00	0.26
3432401.00	0.26
3434977.00	0.26
3437434.00	0.26
3440193.00	0.26
3442695.00	0.26
