time	count
0.00	0.00
60742.00	0.00
61409.00	0.00
61655.00	0.00
177751.00	0.00
178190.00	0.00
178528.00	0.00
178923.00	0.00
226899.00	0.26
227767.00	0.26
8543705.00	0.26
8544115.00	0.26
8544316.00	0.26
8544693.00	0.26
8544989.00	0.26
8545502.00	0.26
8545944.00	0.26
8546276.00	0.26
8546557.00	0.26
8547054.00	0.26
8547410.00	0.26
8547653.00	0.26
8548500.00	0.26
8548816.00	0.26
8549046.00	0.26
8549400.00	0.26
8549664.00	0.26
8549889.00	0.26
8550180.00	0.26
8550976.00	0.26
8551382.00	0.26
8551582.00	0.26
8551816.00	0.26
8552084.00	0.26
8552311.00	0.26
8552868.00	0.26
8553206.00	0.26
8553434.00	0.26
8553693.00	0.26
8553942.00	0.26
8554184.00	0.26
8554519.00	0.26
8555675.00	0.26
8555923.00	0.26
8556140.00	0.26
8557737.00	0.26
8557985.00	0.26
8558422.00	0.26
8558914.00	0.26
8560614.00	0.26
8561014.00	0.26
8561256.00	0.26
8561625.00	0.26
8561852.00	0.26
8563170.00	0.26
8564066.00	0.26
8564334.00	0.26
8564589.00	0.26
8565188.00	0.26
8565439.00	0.26
8565894.00	0.26
8566152.00	0.26
8567904.00	0.26
8569275.00	0.26
8572842.00	0.26
8573431.00	0.26
8573791.00	0.26
8574039.00	0.26
8574422.00	0.26
8574645.00	0.26
8574957.00	0.26
8575197.00	0.26
8575401.00	0.26
8575728.00	0.26
8575956.00	0.26
8576268.00	0.26
8576481.00	0.26
8576715.00	0.26
8577063.00	0.26
8577278.00	0.26
8577681.00	0.26
8578003.00	0.26
8578508.00	0.26
8579114.00	0.26
8579617.00	0.26
8579906.00	0.26
8580389.00	0.26
8580743.00	0.26
8581321.00	0.26
8581988.00	0.26
8582332.00	0.26
8582852.00	0.26
8583419.00	0.26
8584209.00	0.26
8584534.00	0.26
8584893.00	0.26
8585125.00	0.26
8585821.00	0.26
8586061.00	0.26
8588207.00	0.26
8588471.00	0.26
8588837.00	0.26
8589098.00	0.26
8589469.00	0.26
8589993.00	0.26
8590719.00	0.26
8591039.00	0.26
8594977.00	0.26
8595556.00	0.26
8596336.00	0.26
8596619.00	0.26
8598338.00	0.26
8598847.00	0.26
8599187.00	0.26
8600026.00	0.26
8602252.00	0.26
8602524.00	0.26
8602982.00	0.26
8604369.00	0.26
8604884.00	0.26
8605231.00	0.26
8605492.00	0.26
8605767.00	0.26
8607333.00	0.26
8607507.00	0.26
8607705.00	0.26
8607963.00	0.26
8608243.00	0.26
8608505.00	0.26
8609769.00	0.26
8610053.00	0.26
8610784.00	0.26
8611112.00	0.26
8611537.00	0.26
8611821.00	0.26
8612118.00	0.26
8612497.00	0.26
8612774.00	0.26
8613293.00	0.26
8613701.00	0.26
8613972.00	0.26
8614452.00	0.26
8614851.00	0.26
8615252.00	0.26
8615686.00	0.26
8615985.00	0.26
8617402.00	0.26
8617645.00	0.26
8617946.00	0.26
8620027.00	0.26
8620714.00	0.26
8621023.00	0.26
8621558.00	0.26
8621841.00	0.26
8622129.00	0.26
8622528.00	0.26
8622933.00	0.26
8623195.00	0.26
8623555.00	0.26
8623785.00	0.26
8624016.00	0.26
8624255.00	0.26
8624821.00	0.26
8625759.00	0.26
8626429.00	0.26
8627073.00	0.26
8627608.00	0.26
8628010.00	0.26
8628239.00	0.26
8628489.00	0.26
8628735.00	0.26
8629013.00	0.26
8629516.00	0.26
8629980.00	0.26
8630263.00	0.26
8630514.00	0.26
8631108.00	0.26
8631455.00	0.26
8632036.00	0.26
8632758.00	0.26
8633006.00	0.26
8633460.00	0.26
8634727.00	0.26
8635247.00	0.26
8635571.00	0.26
8636155.00	0.26
8636549.00	0.26
8636814.00	0.26
8637387.00	0.26
8637950.00	0.26
8638537.00	0.26
8639106.00	0.26
8639635.00	0.26
8646443.00	0.26
8647138.00	0.26
8647760.00	0.26
8648383.00	0.26
8648732.00	0.26
8649225.00	0.26
8649569.00	0.26
8650132.00	0.26
8650674.00	0.26
8650998.00	0.26
8651520.00	0.26
8652062.00	0.26
8652371.00	0.26
8652945.00	0.26
8653309.00	0.26
8653884.00	0.26
8654402.00	0.26
8654781.00	0.26
8655587.00	0.26
8656522.00	0.26
8656891.00	0.26
8657715.00	0.26
8658087.00	0.26
8658732.00	0.26
8659343.00	0.26
8659747.00	0.26
8660093.00	0.26
8660487.00	0.26
8660902.00	0.26
8661214.00	0.26
8661879.00	0.26
8662163.00	0.26
8662453.00	0.26
8662892.00	0.26
8663136.00	0.26
8663464.00	0.26
8663731.00	0.26
8663983.00	0.26
8664231.00	0.26
8664631.00	0.26
8664854.00	0.26
8665221.00	0.26
8665480.00	0.26
8665728.00	0.26
8665974.00	0.26
8666323.00	0.26
8666619.00	0.26
8666846.00	0.26
8667329.00	0.26
8667564.00	0.26
8667839.00	0.26
8668144.00	0.26
8668580.00	0.26
8669644.00	0.26
8669924.00	0.26
8670200.00	0.26
8670466.00	0.26
8670836.00	0.26
8671097.00	0.26
8671360.00	0.26
8671785.00	0.26
8672043.00	0.26
8672320.00	0.26
8672750.00	0.26
8673159.00	0.26
8673409.00	0.26
8673676.00	0.26
8674078.00	0.26
8674354.00	0.26
8674622.00	0.26
8674870.00	0.26
8675138.00	0.26
8675530.00	0.26
8839492.00	0.26
8839814.00	0.26
8840075.00	0.26
8840374.00	0.26
8840742.00	0.26
8841125.00	0.26
8841546.00	0.26
8841804.00	0.26
8842221.00	0.26
8842593.00	0.26
8842958.00	0.26
8843392.00	0.26
8844256.00	0.26
8844614.00	0.26
8845604.00	0.26
8845938.00	0.26
8861691.00	0.26
8861918.00	0.26
8862161.00	0.26
8862556.00	0.26
8862918.00	0.26
8863190.00	0.26
8863416.00	0.26
8863749.00	0.26
8864142.00	0.26
8864504.00	0.26
8864880.00	0.26
8865091.00	0.26
8865779.00	0.26
8866275.00	0.26
8866558.00	0.26
8866901.00	0.26
8908230.00	0.26
8908418.00	0.26
8908650.00	0.26
8909194.00	0.26
8909562.00	0.26
8909879.00	0.26
8910236.00	0.26
8910655.00	0.26
8911105.00	0.26
8911432.00	0.26
8911690.00	0.26
8912685.00	0.26
8913057.00	0.26
8913321.00	0.26
8913550.00	0.26
8914048.00	0.26
8954719.00	0.26
8954883.00	0.26
8955114.00	0.26
8955353.00	0.26
8955848.00	0.26
8956183.00	0.26
8956592.00	0.26
8956909.00	0.26
8957554.00	0.26
8957919.00	0.26
8958143.00	0.26
8958535.00	0.26
8959158.00	0.26
8959465.00	0.26
8959910.00	0.26
8960273.00	0.26
9000640.00	0.26
9000810.00	0.26
9001106.00	0.26
9001410.00	0.26
9001682.00	0.26
9002110.00	0.26
9002455.00	0.26
9002729.00	0.26
9003095.00	0.26
9003401.00	0.26
9003700.00	0.26
9004039.00	0.26
9004973.00	0.26
9005836.00	0.26
9006101.00	0.26
9006322.00	0.26
9051801.00	0.26
9052069.00	0.26
9052366.00	0.26
9052726.00	0.26
9053360.00	0.26
9053553.00	0.26
9053822.00	0.26
9054060.00	0.26
9054527.00	0.26
9054921.00	0.26
9055174.00	0.26
9055551.00	0.26
9056321.00	0.26
9056604.00	0.26
9056956.00	0.26
9057340.00	0.26
9098607.00	0.26
9098817.00	0.26
9099073.00	0.26
9099420.00	0.26
9100208.00	0.26
9100441.00	0.26
9100797.00	0.26
9101111.00	0.26
9101814.00	0.26
9102107.00	0.26
9102358.00	0.26
9102709.00	0.26
9103512.00	0.26
9103849.00	0.26
9104233.00	0.26
9104439.00	0.26
9144621.00	0.26
9144803.00	0.26
9145199.00	0.26
9145404.00	0.26
9146482.00	0.26
9146665.00	0.26
9146917.00	0.26
9147259.00	0.26
9147973.00	0.26
9148279.00	0.26
9149033.00	0.26
9149282.00	0.26
9150240.00	0.26
9150483.00	0.26
9151003.00	0.26
9151345.00	0.26
9191037.00	0.26
9191216.00	0.26
9191474.00	0.26
9191694.00	0.26
9192075.00	0.26
9192482.00	0.26
9192858.00	0.26
9193050.00	0.26
9193412.00	0.26
9193936.00	0.26
9194303.00	0.26
9194668.00	0.26
9195865.00	0.26
9196065.00	0.26
9196328.00	0.26
9197047.00	0.26
9237202.00	0.26
9237412.00	0.26
9237729.00	0.26
9238024.00	0.26
9238278.00	0.26
9238613.00	0.26
9238884.00	0.26
9239196.00	0.26
9239462.00	0.26
9239925.00	0.26
9240198.00	0.26
9240627.00	0.26
9241983.00	0.26
9242183.00	0.26
9242548.00	0.26
9242912.00	0.26
9282913.00	0.26
9283094.00	0.26
9283390.00	0.26
9283765.00	0.26
9284193.00	0.26
9284417.00	0.26
9285500.00	0.26
9285701.00	0.26
9286103.00	0.26
9286477.00	0.26
9286826.00	0.26
9287141.00	0.26
9287838.00	0.26
9288049.00	0.26
9288758.00	0.26
9289083.00	0.26
9328484.00	0.26
9328655.00	0.26
9328931.00	0.26
9329326.00	0.26
9329795.00	0.26
9330062.00	0.26
9331048.00	0.26
9331300.00	0.26
9331728.00	0.26
9332077.00	0.26
9332610.00	0.26
9333024.00	0.26
9333637.00	0.26
9333848.00	0.26
9334257.00	0.26
9334510.00	0.26
9374600.00	0.26
9374775.00	0.26
9375033.00	0.26
9375311.00	0.26
9375694.00	0.26
9375945.00	0.26
9376439.00	0.26
9376770.00	0.26
9377218.00	0.26
9377497.00	0.26
9378135.00	0.26
9378482.00	0.26
9379422.00	0.26
9379794.00	0.26
9380053.00	0.26
9380391.00	0.26
9432250.00	0.26
9432737.00	0.26
9433090.00	0.26
9433779.00	0.26
9434295.00	0.26
9434735.00	0.26
9435335.00	0.26
9435784.00	0.26
9436332.00	0.26
9436765.00	0.26
9437203.00	0.26
9437626.00	0.26
9439439.00	0.26
9439947.00	0.26
9440514.00	0.26
9440993.00	0.26
9486295.00	0.26
9486543.00	0.26
9486789.00	0.26
9487160.00	0.26
9487512.00	0.26
9487872.00	0.26
9488561.00	0.26
9488912.00	0.26
9489274.00	0.26
9489545.00	0.26
9490343.00	0.26
9490709.00	0.26
9491315.00	0.26
9491587.00	0.26
9491857.00	0.26
9492402.00	0.26
9525146.00	0.26
9525710.00	0.26
9526014.00	0.26
9526286.00	0.26
9526619.00	0.26
9526922.00	0.26
9527148.00	0.26
9527554.00	0.26
9527862.00	0.26
9528189.00	0.26
9528392.00	0.26
9528825.00	0.26
9529089.00	0.26
9529321.00	0.26
9529733.00	0.26
9530137.00	0.26
10274657.00	0.26
10275005.00	0.26
10275213.00	0.26
10275427.00	0.26
10275652.00	0.26
10275862.00	0.26
10276175.00	0.26
10276413.00	0.26
10276830.00	0.26
10277109.00	0.26
10277361.00	0.26
10277769.00	0.26
10278046.00	0.26
10278370.00	0.26
10279135.00	0.26
10279515.00	0.26
10279784.00	0.26
10280259.00	0.26
10280526.00	0.26
10280782.00	0.26
10284638.00	0.26
10285126.00	0.26
10285410.00	0.26
10287058.00	0.26
10287372.00	0.26
10287863.00	0.26
10288236.00	0.26
10288561.00	0.26
10288961.00	0.26
10289239.00	0.26
10289535.00	0.26
10289776.00	0.26
10290067.00	0.26
10290467.00	0.26
10290757.00	0.26
10290998.00	0.26
10291438.00	0.26
10291683.00	0.26
10291992.00	0.26
10292240.00	0.26
10292540.00	0.26
10292780.00	0.26
10293079.00	0.26
10293942.00	0.26
10294254.00	0.26
10294498.00	0.26
10294942.00	0.26
10295186.00	0.26
10295463.00	0.26
10295748.00	0.26
10295987.00	0.26
10296257.00	0.26
10296775.00	0.26
10297111.00	0.26
10297444.00	0.26
10298133.00	0.26
10298448.00	0.26
10298881.00	0.26
10299195.00	0.26
10299818.00	0.26
10300260.00	0.26
10300567.00	0.26
10301132.00	0.26
10301408.00	0.26
10301875.00	0.26
10302180.00	0.26
10302469.00	0.26
10302796.00	0.26
10303225.00	0.26
10303535.00	0.26
10303795.00	0.26
10304331.00	0.26
10304597.00	0.26
10304897.00	0.26
10305341.00	0.26
10305640.00	0.26
10305930.00	0.26
10306423.00	0.26
10306722.00	0.26
10307034.00	0.26
10307577.00	0.26
10307913.00	0.26
10308252.00	0.26
10308853.00	0.26
10309226.00	0.26
10309595.00	0.26
10310227.00	0.26
10310607.00	0.26
10311212.00	0.26
10311592.00	0.26
10312061.00	0.26
10312359.00	0.26
10312659.00	0.26
10313182.00	0.26
10313515.00	0.26
10313855.00	0.26
10316061.00	0.26
10317113.00	0.26
10317405.00	0.26
10317703.00	0.26
10317976.00	0.26
10318391.00	0.26
10318711.00	0.26
10320478.00	0.26
10322109.00	0.26
10323871.00	0.26
10325455.00	0.26
10327684.00	0.26
10329873.00	0.26
10331993.00	0.26
10334272.00	0.26
10336443.00	0.26
10338354.00	0.26
10338664.00	0.26
10339096.00	0.26
10339399.00	0.26
10339655.00	0.26
10339953.00	0.26
10340373.00	0.26
10340695.00	0.26
10341036.00	0.26
10341508.00	0.26
10341804.00	0.26
10342273.00	0.26
10342569.00	0.26
10342856.00	0.26
10343404.00	0.26
10343745.00	0.26
10483725.00	0.26
10485274.00	0.26
10486947.00	0.26
10487290.00	0.26
10488191.00	0.26
10489107.00	0.26
10491632.00	0.26
10492593.00	0.26
10493969.00	0.26
10494924.00	0.26
10495149.00	0.26
10495757.00	0.26
10496050.00	0.26
10496302.00	0.26
10496950.00	0.26
10497198.00	0.26
10508371.00	0.26
10508706.00	0.26
10508968.00	0.26
10509281.00	0.26
10509545.00	0.26
10509814.00	0.26
10510134.00	0.26
10510414.00	0.26
10510655.00	0.26
10511036.00	0.26
10511320.00	0.26
10512060.00	0.26
10512369.00	0.26
10512860.00	0.26
10513176.00	0.26
10513697.00	0.26
10540687.00	0.26
10541062.00	0.26
10541376.00	0.26
10542105.00	0.26
10542410.00	0.26
10542632.00	0.26
10542974.00	0.26
10543241.00	0.26
10543599.00	0.26
10543929.00	0.26
10544482.00	0.26
10545330.00	0.26
10545786.00	0.26
10546081.00	0.26
10546460.00	0.26
10546751.00	0.26
10573885.00	0.26
10575018.00	0.26
10575239.00	0.26
10575492.00	0.26
10575980.00	0.26
10576233.00	0.26
10576539.00	0.26
10576889.00	0.26
10577086.00	0.26
10577333.00	0.26
10577527.00	0.26
10578148.00	0.26
10579326.00	0.26
10579815.00	0.26
10580091.00	0.26
10580372.00	0.26
10604282.00	0.26
10604738.00	0.26
10605036.00	0.26
10605318.00	0.26
10606089.00	0.26
10606408.00	0.26
10606848.00	0.26
10607224.00	0.26
10607562.00	0.26
10608146.00	0.26
10608565.00	0.26
10611251.00	0.26
10611952.00	0.26
10612595.00	0.26
10613219.00	0.26
10613849.00	0.26
10635200.00	0.26
10636501.00	0.26
10636791.00	0.26
10637874.00	0.26
10638512.00	0.26
10639119.00	0.26
10639740.00	0.26
10640157.00	0.26
10641009.00	0.26
10641491.00	0.26
10641814.00	0.26
10642668.00	0.26
10643175.00	0.26
10644852.00	0.26
10645096.00	0.26
10646118.00	0.26
10665539.00	0.26
10665895.00	0.26
10666185.00	0.26
10667251.00	0.26
10667582.00	0.26
10669501.00	0.26
10669895.00	0.26
10670173.00	0.26
10670460.00	0.26
10670712.00	0.26
10671066.00	0.26
10672013.00	0.26
10672940.00	0.26
10673350.00	0.26
10673870.00	0.26
10674216.00	0.26
10690031.00	0.26
10690604.00	0.26
10690868.00	0.26
10691087.00	0.26
10691315.00	0.26
10691536.00	0.26
10691755.00	0.26
10692063.00	0.26
10692297.00	0.26
10692520.00	0.26
10692744.00	0.26
10692971.00	0.26
10693215.00	0.26
10693414.00	0.26
10693649.00	0.26
10693846.00	0.26
10822774.00	0.26
10823419.00	0.26
10846903.00	0.26
10847414.00	0.26
10847655.00	0.26
10847941.00	0.26
10848216.00	0.26
10848506.00	0.26
10848806.00	0.26
10849083.00	0.26
10849379.00	0.26
10849678.00	0.26
10849943.00	0.26
10850248.00	0.26
10850578.00	0.26
10850858.00	0.26
10851111.00	0.26
10851390.00	0.26
10851681.00	0.26
10851991.00	0.26
10852284.00	0.26
10852670.00	0.26
10852926.00	0.26
10853204.00	0.26
10853494.00	0.26
10853807.00	0.26
10854071.00	0.26
10854368.00	0.26
10854652.00	0.26
10854943.00	0.26
10855436.00	0.26
10855737.00	0.26
10856020.00	0.26
10856336.00	0.26
10857203.00	0.26
10857740.00	0.26
10860633.00	0.26
10864145.00	0.26
10867724.00	0.26
10870883.00	0.26
10874954.00	0.26
10875430.00	0.26
10876272.00	0.26
10876683.00	0.26
10877218.00	0.26
10877628.00	0.26
10877945.00	0.26
10878336.00	0.26
10878651.00	0.26
10879020.00	0.26
10879325.00	0.26
10882502.00	0.26
10883114.00	0.26
10883594.00	0.26
10887305.00	0.26
10895045.00	0.26
10899430.00	0.26
10903179.00	0.26
10906419.00	0.26
10909746.00	0.26
10917162.00	0.26
10917641.00	0.26
10917872.00	0.26
10918138.00	0.26
11080717.00	0.26
11082505.00	0.26
11082858.00	0.26
11083101.00	0.26
11093443.00	0.26
11099418.00	0.26
11099806.00	0.26
11100109.00	0.26
11100414.00	0.26
11100688.00	0.26
11100957.00	0.26
11102139.00	0.26
11103784.00	0.26
11104153.00	0.26
11104523.00	0.26
11104823.00	0.26
11105205.00	0.26
11108211.00	0.26
11110773.00	0.26
11112326.00	0.26
11115560.00	0.26
11137288.00	0.26
11137653.00	0.26
11137916.00	0.26
11138269.00	0.26
11138529.00	0.26
11138763.00	0.26
11139036.00	0.26
11139310.00	0.26
11143543.00	0.26
11144016.00	0.26
11144311.00	0.26
11144879.00	0.26
11145181.00	0.26
11145528.00	0.26
11146198.00	0.26
11146560.00	0.26
11192060.00	0.26
11192436.00	0.26
11192757.00	0.26
11193056.00	0.26
11193351.00	0.26
11194339.00	0.26
11194698.00	0.26
11195245.00	0.26
11195576.00	0.26
11195994.00	0.26
11196348.00	0.26
11197420.00	0.26
11197799.00	0.26
11198483.00	0.26
11198862.00	0.26
11199202.00	0.26
11243088.00	0.26
11243615.00	0.26
11243885.00	0.26
11244121.00	0.26
11244397.00	0.26
11244634.00	0.26
11245056.00	0.26
11245292.00	0.26
11245542.00	0.26
11245766.00	0.26
11246003.00	0.26
11486209.00	0.26
11487188.00	0.26
11487468.00	0.26
11487693.00	0.26
11487916.00	0.26
11488144.00	0.26
11488379.00	0.26
11488617.00	0.26
11488840.00	0.26
11490116.00	0.26
11511659.00	0.26
11517428.00	0.26
11518068.00	0.26
11527014.00	0.26
11527481.00	0.26
11527723.00	0.26
11528012.00	0.26
11528301.00	0.26
11528601.00	0.26
11528882.00	0.26
11529155.00	0.26
11529437.00	0.26
11529717.00	0.26
11529978.00	0.26
11530251.00	0.26
11532425.00	0.26
11532726.00	0.26
11532991.00	0.26
11533257.00	0.26
11533540.00	0.26
11533801.00	0.26
11534049.00	0.26
11534317.00	0.26
11587448.00	0.26
11595973.00	0.26
11605798.00	0.26
11641046.00	0.26
11649468.00	0.26
11656519.00	0.26
11660938.00	0.26
11665127.00	0.26
11668204.00	0.26
11668749.00	0.26
11669413.00	0.26
11671396.00	0.26
11672495.00	0.26
11673974.00	0.26
11680054.00	0.26
11686088.00	0.26
11686597.00	0.26
11694304.00	0.26
11694688.00	0.26
11699173.00	0.26
11699587.00	0.26
11699861.00	0.26
11700111.00	0.26
11707396.00	0.26
11707827.00	0.26
11708109.00	0.26
11710147.00	0.26
11714602.00	0.26
11723271.00	0.26
11726466.00	0.26
11730252.00	0.26
11811426.00	0.26
11811817.00	0.26
11812034.00	0.26
11812259.00	0.26
11812476.00	0.26
11812689.00	0.26
11812904.00	0.26
11813118.00	0.26
11813356.00	0.26
11813591.00	0.26
11813816.00	0.26
11814046.00	0.26
11814293.00	0.26
11814517.00	0.26
11814738.00	0.26
11814977.00	0.26
11820688.00	0.26
11831852.00	0.26
11841086.00	0.26
11860809.00	0.26
11883203.00	0.26
11902156.00	0.26
11913617.00	0.26
11929622.00	0.26
11939748.00	0.26
11947338.00	0.26
11957280.00	0.26
11958073.00	0.26
11962922.00	0.26
11963383.00	0.26
11967477.00	0.26
11971518.00	0.26
12026483.00	0.26
12027200.00	0.26
12027658.00	0.26
12027877.00	0.26
12028094.00	0.26
12028310.00	0.26
12042048.00	0.26
12055099.00	0.26
12055569.00	0.26
12076121.00	0.26
12085091.00	0.26
12085627.00	0.26
12124877.00	0.26
12140766.00	0.26
12147668.00	0.26
12167847.00	0.26
12214717.00	0.26
12215112.00	0.26
12215301.00	0.26
12232980.00	0.26
12249911.00	0.26
12264391.00	0.26
12271544.00	0.26
12291869.00	0.26
12321969.00	0.26
12358804.00	0.26
12376163.00	0.26
12395145.00	0.26
12442381.00	0.26
12471906.00	0.26
12490477.00	0.26
12491091.00	0.26
12492746.00	0.26
12494879.00	0.26
12496783.00	0.26
12498667.00	0.26
12501273.00	0.26
12504171.00	0.26
12506191.00	0.26
12508555.00	0.26
12511316.00	0.26
12514051.00	0.26
12516391.00	0.26
12518887.00	0.26
12521775.00	0.26
12524844.00	0.26
12527045.00	0.26
12529774.00	0.26
12532190.00	0.26
12534304.00	0.26
12536192.00	0.26
12538164.00	0.26
12540770.00	0.26
12543193.00	0.26
12545526.00	0.26
12548336.00	0.26
12551146.00	0.26
12553348.00	0.26
12555260.00	0.26
12557145.00	0.26
12559733.00	0.26
12562352.00	0.26
12564439.00	0.26
12566563.00	0.26
12569114.00	0.26
12571407.00	0.26
12573467.00	0.26
12575443.00	0.26
12577721.00	0.26
12580796.00	0.26
12583016.00	0.26
12585107.00	0.26
12587606.00	0.26
12589893.00	0.26
12592088.00	0.26
12594052.00	0.26
12596107.00	0.26
12599025.00	0.26
12601221.00	0.26
12603470.00	0.26
12605892.00	0.26
12608340.00	0.26
12610617.00	0.26
12612564.00	0.26
12614436.00	0.26
12617073.00	0.26
12619317.00	0.26
12621288.00	0.26
12623225.00	0.26
12625446.00	0.26
12627592.00	0.26
12629564.00	0.26
12631380.00	0.26
12633693.00	0.26
12635650.00	0.26
12637904.00	0.26
12640181.00	0.26
12642281.00	0.26
12644470.00	0.26
12646908.00	0.26
12649061.00	0.26
12651462.00	0.26
12653377.00	0.26
12655131.00	0.26
12657130.00	0.26
12659230.00	0.26
12661249.00	0.26
12663215.00	0.26
12665181.00	0.26
12667544.00	0.26
12669636.00	0.26
12671509.00	0.26
12673375.00	0.26
12675256.00	0.26
12677355.00	0.26
12679393.00	0.26
12681633.00	0.26
12684247.00	0.26
12686677.00	0.26
12688987.00	0.26
12691191.00	0.26
12693144.00	0.26
12695203.00	0.26
12697411.00	0.26
12699622.00	0.26
12702442.00	0.26
12704863.00	0.26
12707159.00	0.26
12709429.00	0.26
12711467.00	0.26
12713488.00	0.26
12715617.00	0.26
12717832.00	0.26
12720674.00	0.26
12722986.00	0.26
12725335.00	0.26
12727673.00	0.26
12729809.00	0.26
12731833.00	0.26
12733799.00	0.26
12736042.00	0.26
12738910.00	0.26
12741181.00	0.26
12743510.00	0.26
12745845.00	0.26
12748323.00	0.26
12750425.00	0.26
12752332.00	0.26
12754475.00	0.26
12757224.00	0.26
12759585.00	0.26
12761720.00	0.26
12763994.00	0.26
12766333.00	0.26
12768415.00	0.26
12770295.00	0.26
12772204.00	0.26
12774832.00	0.26
12777410.00	0.26
12779696.00	0.26
12782024.00	0.26
12784281.00	0.26
12786694.00	0.26
12788751.00	0.26
12790667.00	0.26
12793250.00	0.26
12795727.00	0.26
12798000.00	0.26
12800098.00	0.26
12802398.00	0.26
12804940.00	0.26
12807197.00	0.26
12809188.00	0.26
12811719.00	0.26
12814129.00	0.26
12816574.00	0.26
12818718.00	0.26
12820941.00	0.26
12823410.00	0.26
12825854.00	0.26
12827822.00	0.26
12830343.00	0.26
12832736.00	0.26
12835310.00	0.26
12837593.00	0.26
12839915.00	0.26
12842711.00	0.26
12845174.00	0.26
12847110.00	0.26
12849376.00	0.26
12851767.00	0.26
12854285.00	0.26
12856548.00	0.26
12858764.00	0.26
12861364.00	0.26
12863797.00	0.26
12865832.00	0.26
12868220.00	0.26
12870507.00	0.26
12873045.00	0.26
12875262.00	0.26
12877380.00	0.26
12879971.00	0.26
12882383.00	0.26
12884481.00	0.26
12886764.00	0.26
12888749.00	0.26
12891346.00	0.26
12893715.00	0.26
12895791.00	0.26
12898148.00	0.26
12900805.00	0.26
12903120.00	0.26
12905614.00	0.26
12907552.00	0.26
12910095.00	0.26
12912505.00	0.26
12914646.00	0.26
12916872.00	0.26
12919581.00	0.26
12922244.00	0.26
12924793.00	0.26
12926965.00	0.26
12929826.00	0.26
12932358.00	0.26
12934548.00	0.26
12937122.00	0.26
12939837.00	0.26
12942150.00	0.26
12944426.00	0.26
12946335.00	0.26
12949006.00	0.26
12951372.00	0.26
12953567.00	0.26
12956103.00	0.26
12958810.00	0.26
12961232.00	0.26
12963687.00	0.26
12965932.00	0.26
12968663.00	0.26
12971142.00	0.26
12973301.00	0.26
12975699.00	0.26
12978337.00	0.26
12980624.00	0.26
12982932.00	0.26
12984770.00	0.26
12987258.00	0.26
12989655.00	0.26
