level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
3	179257	179300	#0069ff	1.0	Fill	15					19772
3	12491924	12492157	#00ff0f	1.0	Fill	7203					19774
3	12492248	12492423	#ff0071	1.0	Fill	7204					257564
3	12493196	12493203	#1f00ff	1.0	Fill	7208					122719
3	12495294	12495300	#1f00ff	1.0	Fill	7215					19776
3	12497186	12497195	#1f00ff	1.0	Fill	7222					19777
3	12499074	12499081	#1f00ff	1.0	Fill	7229					19778
3	12501881	12501889	#1f00ff	1.0	Fill	7236					19780
3	12504635	12504641	#1f00ff	1.0	Fill	7243					19781
3	12506609	12506616	#1f00ff	1.0	Fill	7250					19782
3	12509123	12509130	#1f00ff	1.0	Fill	7257					19784
3	12512001	12512009	#1f00ff	1.0	Fill	7264					122720
3	12514739	12514750	#1f00ff	1.0	Fill	7271					122721
3	12517000	12517008	#1f00ff	1.0	Fill	7278					19785
3	12519581	12519588	#1f00ff	1.0	Fill	7285					122722
3	12522499	12522507	#1f00ff	1.0	Fill	7292					122723
3	12525452	12525459	#1f00ff	1.0	Fill	7299					122724
3	12527593	12527600	#1f00ff	1.0	Fill	7306					122725
3	12530393	12530399	#1f00ff	1.0	Fill	7313					122726
3	12532718	12532729	#1f00ff	1.0	Fill	7320					122727
3	12534708	12534715	#1f00ff	1.0	Fill	7327					19787
3	12536568	12536575	#1f00ff	1.0	Fill	7334					122728
3	12538697	12538703	#1f00ff	1.0	Fill	7341					122729
3	12541312	12541318	#1f00ff	1.0	Fill	7348					122731
3	12543775	12543781	#1f00ff	1.0	Fill	7355					122732
3	12546151	12546161	#1f00ff	1.0	Fill	7362					122733
3	12549085	12549091	#1f00ff	1.0	Fill	7369					164808
3	12551655	12551662	#1f00ff	1.0	Fill	7376					122734
3	12553764	12553776	#1f00ff	1.0	Fill	7383					68108
3	12555607	12555614	#1f00ff	1.0	Fill	7390					68109
3	12557590	12557602	#1f00ff	1.0	Fill	7397					68110
3	12560323	12560337	#1f00ff	1.0	Fill	7404					164810
3	12562824	12562838	#1f00ff	1.0	Fill	7411					164811
3	12564839	12564849	#1f00ff	1.0	Fill	7418					164812
3	12567161	12567180	#1f00ff	1.0	Fill	7425					164813
