time	count
0.00	0.00
8251.00	0.50
8262.00	0.00
8270.00	0.00
8338.00	0.50
52130.00	0.00
53165.00	0.50
53172.00	0.00
53175.00	0.50
53176.00	0.00
53177.00	0.50
53178.00	0.00
53180.00	0.50
53181.00	0.00
53275.00	0.50
53387.00	0.00
53584.00	0.50
53586.00	0.00
53588.00	0.00
53589.00	0.50
53590.00	0.00
53591.00	0.00
53640.00	0.50
53697.00	0.00
53876.00	0.50
53877.00	0.00
53880.00	0.00
53881.00	0.00
53883.00	0.00
53929.00	0.50
54029.00	0.00
54187.00	0.50
54188.00	0.00
54233.00	0.50
54234.00	0.00
54288.00	0.50
54289.00	0.00
54327.00	0.50
54328.00	0.00
54603.00	0.50
54658.00	1.00
54676.00	0.50
54720.00	1.00
54721.00	0.50
54804.00	1.00
54805.00	0.50
56483.00	0.00
56512.00	0.50
56533.00	0.00
56537.00	0.50
56541.00	0.00
56595.00	0.50
56597.00	0.00
56653.00	0.50
56654.00	0.00
56698.00	0.00
56744.00	0.50
56745.00	0.00
56894.00	0.50
56895.00	0.00
56931.00	0.50
56932.00	0.00
56988.00	0.50
57050.00	1.00
57051.00	0.50
61676.00	0.00
61740.00	0.50
61742.00	0.00
61788.00	0.50
61789.00	0.00
61823.00	0.50
61824.00	0.00
61913.00	0.50
61914.00	0.00
61985.00	0.50
62081.00	0.00
62125.00	0.50
62126.00	0.00
62225.00	0.50
62226.00	0.00
62269.00	0.50
62270.00	0.00
62319.00	0.00
62366.00	0.50
62367.00	0.00
62403.00	0.50
62409.00	0.00
62520.00	0.50
62564.00	1.00
62566.00	0.50
62595.00	1.00
62601.00	0.50
62635.00	0.50
62701.00	0.50
62779.00	1.00
62780.00	0.50
62870.00	1.00
62872.00	0.50
64380.00	0.00
64403.00	0.50
64405.00	0.00
64426.00	0.50
64459.00	1.00
64511.00	0.50
64558.00	1.00
64560.00	0.50
64601.00	1.00
64602.00	0.50
64627.00	1.00
64628.00	0.50
64666.00	1.00
64667.00	0.50
64689.00	0.50
64753.00	0.50
64827.00	1.00
64934.00	0.50
64966.00	1.00
64968.00	0.50
65072.00	1.00
65074.00	0.50
65113.00	0.50
65146.00	1.00
65147.00	0.50
65168.00	1.00
65174.00	0.50
65244.00	1.00
65245.00	0.50
