time	count
0.00	0.00
7967.00	1.00
7996.00	0.00
8048.00	1.00
8104.00	0.00
8111.00	1.00
8324.00	0.00
8330.00	1.00
8331.00	0.00
52160.00	1.00
52293.00	0.00
52325.00	1.00
52384.00	0.00
52390.00	1.00
52395.00	0.00
52399.00	1.00
53227.00	0.00
53252.00	1.00
53256.00	0.00
53399.00	1.00
53414.00	0.00
53439.00	1.00
53450.00	0.00
53455.00	1.00
53456.00	0.00
53459.00	1.00
53515.00	0.00
53536.00	1.00
53604.00	0.00
53626.00	1.00
53627.00	0.00
53708.00	1.00
53727.00	0.00
53751.00	1.00
53762.00	0.00
53766.00	1.00
53767.00	0.00
53771.00	1.00
53819.00	0.00
53829.00	1.00
53897.00	0.00
53918.00	1.00
53920.00	0.00
54046.00	1.00
54152.00	0.00
54198.00	1.00
54207.00	0.00
54245.00	1.00
54261.00	0.00
54297.00	1.00
54298.00	0.00
54336.00	1.00
54639.00	0.00
54693.00	1.00
54702.00	0.00
54726.00	1.00
54784.00	0.00
56554.00	1.00
56565.00	0.00
56606.00	1.00
56624.00	0.00
56663.00	1.00
56671.00	0.00
56707.00	1.00
56718.00	0.00
56754.00	1.00
56855.00	0.00
56905.00	1.00
56906.00	0.00
56944.00	1.00
57017.00	0.00
61687.00	1.00
61704.00	0.00
61749.00	1.00
61758.00	0.00
61795.00	1.00
61796.00	0.00
61830.00	1.00
62092.00	0.00
62134.00	1.00
62189.00	0.00
62233.00	1.00
62240.00	0.00
62276.00	1.00
62286.00	0.00
62325.00	1.00
62334.00	0.00
62373.00	1.00
62374.00	0.00
62416.00	1.00
62545.00	0.00
62573.00	1.00
62579.00	0.00
62608.00	1.00
62618.00	0.00
62641.00	1.00
62707.00	0.00
62713.00	1.00
62756.00	0.00
62788.00	1.00
62846.00	0.00
64520.00	1.00
64538.00	0.00
64567.00	1.00
64583.00	0.00
64607.00	1.00
64611.00	0.00
64633.00	1.00
64648.00	0.00
64673.00	1.00
64674.00	0.00
64695.00	1.00
64759.00	0.00
64769.00	1.00
64946.00	0.00
64975.00	1.00
65052.00	0.00
65080.00	1.00
65095.00	0.00
65119.00	1.00
65129.00	0.00
65152.00	1.00
65154.00	0.00
65181.00	1.00
65221.00	0.00
65252.00	1.00
65259.00	0.00
65282.00	1.00
65291.00	0.00
65314.00	1.00
65523.00	0.00
65557.00	1.00
65573.00	0.00
65600.00	1.00
65607.00	0.00
65629.00	1.00
65991.00	0.00
65999.00	1.00
66001.00	0.00
66005.00	1.00
66054.00	0.00
66060.00	1.00
66061.00	0.00
66063.00	1.00
66064.00	0.00
66065.00	0.00
67948.00	1.00
67955.00	0.00
67981.00	1.00
67986.00	0.00
68008.00	1.00
68022.00	0.00
68552.00	1.00
68570.00	0.00
68611.00	1.00
68624.00	0.00
68660.00	1.00
68664.00	0.00
68698.00	1.00
68710.00	0.00
68748.00	1.00
68749.00	0.00
68783.00	1.00
68860.00	0.00
68870.00	1.00
69259.00	0.00
69303.00	1.00
69477.00	0.00
69523.00	1.00
69531.00	0.00
69567.00	1.00
69576.00	0.00
69619.00	1.00
69623.00	0.00
69657.00	1.00
69660.00	0.00
69701.00	1.00
69704.00	0.00
69738.00	1.00
69742.00	0.00
69777.00	1.00
69785.00	0.00
69826.00	1.00
69827.00	0.00
69861.00	1.00
70144.00	0.00
70180.00	1.00
70194.00	0.00
70231.00	1.00
70236.00	0.00
70272.00	1.00
70636.00	0.00
70685.00	1.00
70693.00	0.00
70731.00	1.00
70732.00	0.00
70767.00	1.00
70768.00	0.00
70803.00	1.00
70804.00	0.00
70837.00	1.00
70839.00	0.00
70874.00	1.00
70876.00	0.00
70917.00	1.00
70918.00	0.00
70954.00	1.00
71241.00	0.00
71283.00	1.00
71287.00	0.00
71327.00	1.00
71329.00	0.00
71363.00	1.00
71365.00	0.00
71405.00	1.00
71406.00	0.00
71441.00	1.00
71442.00	0.00
71476.00	1.00
71477.00	0.00
71513.00	1.00
71514.00	0.00
71548.00	1.00
71552.00	0.00
71596.00	1.00
71601.00	0.00
71636.00	1.00
71640.00	0.00
71673.00	1.00
71678.00	0.00
71712.00	1.00
71732.00	0.00
71769.00	1.00
71773.00	0.00
71807.00	1.00
71819.00	0.00
71863.00	1.00
72139.00	0.00
72181.00	1.00
72205.00	0.00
72242.00	1.00
72384.00	0.00
72427.00	1.00
72431.00	0.00
72473.00	1.00
72477.00	0.00
72511.00	1.00
72705.00	0.00
72751.00	1.00
73259.00	0.00
73303.00	1.00
73339.00	0.00
73379.00	1.00
73388.00	0.00
73427.00	1.00
73433.00	0.00
73469.00	1.00
73504.00	0.00
73553.00	1.00
73567.00	0.00
73605.00	1.00
73616.00	0.00
73653.00	1.00
73664.00	0.00
73701.00	1.00
73716.00	0.00
73754.00	1.00
73764.00	0.00
73807.00	1.00
73817.00	0.00
73855.00	1.00
73861.00	0.00
73897.00	1.00
73906.00	0.00
73942.00	1.00
73947.00	0.00
73981.00	1.00
73989.00	0.00
74024.00	1.00
74028.00	0.00
74075.00	1.00
74084.00	0.00
74120.00	1.00
74125.00	0.00
74159.00	1.00
74166.00	0.00
74202.00	1.00
74206.00	0.00
74241.00	1.00
74248.00	0.00
74283.00	1.00
