time	count
0.00	0.00
10964.00	1.00
11003.00	0.00
11056.00	1.00
11123.00	0.00
11154.00	1.00
11778.00	0.00
11876.00	1.00
12263.00	0.00
25721.00	1.00
26083.00	0.00
26217.00	1.00
26324.00	0.00
26379.00	1.00
26389.00	0.00
26424.00	1.00
28121.00	0.00
28205.00	1.00
28435.00	0.00
28484.00	1.00
28509.00	0.00
28550.00	1.00
30741.00	0.00
30769.00	1.00
30787.00	0.00
30833.00	1.00
31265.00	0.00
31368.00	1.00
31391.00	0.00
31497.00	1.00
31516.00	0.00
31620.00	1.00
31621.00	0.00
31712.00	1.00
32144.00	0.00
32248.00	1.00
32421.00	0.00
32532.00	1.00
32547.00	0.00
32641.00	1.00
32666.00	0.00
32767.00	1.00
32768.00	0.00
32860.00	1.00
33452.00	0.00
33533.00	1.00
33544.00	0.00
33621.00	1.00
33717.00	0.00
129522.00	1.00
129541.00	0.00
129588.00	1.00
129803.00	0.00
129813.00	1.00
129818.00	0.00
129820.00	1.00
129821.00	0.00
129991.00	1.00
130007.00	0.00
130026.00	1.00
130028.00	0.00
130131.00	1.00
130141.00	0.00
130159.00	1.00
130161.00	0.00
130207.00	1.00
130236.00	0.00
130254.00	1.00
130268.00	0.00
130274.00	1.00
130336.00	0.00
130343.00	1.00
130345.00	0.00
130347.00	1.00
130348.00	0.00
130350.00	1.00
130351.00	0.00
133881.00	1.00
133888.00	0.00
133921.00	1.00
133926.00	0.00
133979.00	1.00
134003.00	0.00
134022.00	1.00
134045.00	0.00
134053.00	1.00
134328.00	0.00
134339.00	1.00
134342.00	0.00
134344.00	1.00
134346.00	0.00
134347.00	1.00
134348.00	0.00
134350.00	1.00
134352.00	0.00
134477.00	1.00
134544.00	0.00
134567.00	1.00
134579.00	0.00
134586.00	1.00
134602.00	0.00
134609.00	1.00
134750.00	0.00
134759.00	1.00
134765.00	0.00
134767.00	1.00
134769.00	0.00
134771.00	1.00
134772.00	0.00
134774.00	1.00
134775.00	0.00
134918.00	1.00
134957.00	0.00
134976.00	1.00
134985.00	0.00
134992.00	1.00
135005.00	0.00
135016.00	1.00
135130.00	0.00
135139.00	1.00
135142.00	0.00
135144.00	1.00
135145.00	0.00
135147.00	1.00
135148.00	0.00
135150.00	1.00
135151.00	0.00
135259.00	1.00
135264.00	0.00
135281.00	1.00
135283.00	0.00
135325.00	1.00
135348.00	0.00
135363.00	1.00
135378.00	0.00
135384.00	1.00
135548.00	0.00
135558.00	1.00
135568.00	0.00
135571.00	1.00
135572.00	0.00
135574.00	0.00
135576.00	1.00
135578.00	0.00
135674.00	1.00
135718.00	0.00
135737.00	1.00
135747.00	0.00
135753.00	1.00
135767.00	0.00
135773.00	1.00
135876.00	0.00
135885.00	1.00
135888.00	0.00
135889.00	1.00
135891.00	0.00
135893.00	1.00
135894.00	0.00
135896.00	1.00
135897.00	0.00
136039.00	1.00
136045.00	0.00
136059.00	1.00
136060.00	0.00
136109.00	1.00
136132.00	0.00
136145.00	1.00
136159.00	0.00
136166.00	1.00
136227.00	0.00
136248.00	1.00
136305.00	0.00
136314.00	1.00
136317.00	0.00
136319.00	1.00
136321.00	0.00
136323.00	0.00
136325.00	1.00
136331.00	0.00
136396.00	1.00
136401.00	0.00
136413.00	1.00
136415.00	0.00
136451.00	1.00
136477.00	0.00
136489.00	1.00
136498.00	0.00
136504.00	1.00
136553.00	0.00
136560.00	1.00
136563.00	0.00
136564.00	1.00
136566.00	0.00
136568.00	0.00
137546.00	1.00
137593.00	0.00
137659.00	1.00
137961.00	0.00
138060.00	1.00
138082.00	0.00
138141.00	1.00
138196.00	0.00
138247.00	1.00
138269.00	0.00
138312.00	1.00
138315.00	0.00
138339.00	1.00
138432.00	0.00
141839.00	1.00
141934.00	0.00
142079.00	1.00
142106.00	0.00
142167.00	1.00
142169.00	0.00
142204.00	1.00
142574.00	0.00
142691.00	1.00
142797.00	0.00
142859.00	1.00
142878.00	0.00
142933.00	1.00
142957.00	0.00
142991.00	1.00
143025.00	0.00
143078.00	1.00
143096.00	0.00
143134.00	1.00
143136.00	0.00
143161.00	1.00
143371.00	0.00
143400.00	1.00
143410.00	0.00
143482.00	1.00
143502.00	0.00
143548.00	1.00
143791.00	0.00
143868.00	1.00
143992.00	0.00
144046.00	1.00
144110.00	0.00
144163.00	1.00
144174.00	0.00
144212.00	1.00
144229.00	0.00
144263.00	1.00
144277.00	0.00
144317.00	1.00
144321.00	0.00
144349.00	1.00
144499.00	0.00
144557.00	1.00
144772.00	0.00
144863.00	1.00
144897.00	0.00
144965.00	1.00
144977.00	0.00
145020.00	1.00
145022.00	0.00
145051.00	1.00
145122.00	0.00
148170.00	1.00
148192.00	0.00
148284.00	1.00
148342.00	0.00
150300.00	1.00
150310.00	0.00
150328.00	1.00
150365.00	0.00
150373.00	1.00
150376.00	0.00
150378.00	1.00
150379.00	0.00
150977.00	1.00
150985.00	0.00
151009.00	1.00
151038.00	0.00
151046.00	1.00
151048.00	0.00
151051.00	1.00
151052.00	0.00
159364.00	1.00
159398.00	0.00
159468.00	1.00
159532.00	0.00
186472.00	1.00
186484.00	0.00
186512.00	1.00
186557.00	0.00
186565.00	1.00
186569.00	0.00
186571.00	1.00
186572.00	0.00
187572.00	1.00
187609.00	0.00
187627.00	1.00
187645.00	0.00
187652.00	1.00
187653.00	0.00
187658.00	1.00
187838.00	0.00
187847.00	1.00
187850.00	0.00
187852.00	1.00
187856.00	0.00
187858.00	0.00
187860.00	0.00
187862.00	1.00
187864.00	0.00
188547.00	1.00
188778.00	0.00
188810.00	1.00
188821.00	0.00
188827.00	1.00
188841.00	0.00
188846.00	1.00
188849.00	0.00
188854.00	1.00
188856.00	0.00
188860.00	1.00
188863.00	0.00
188870.00	1.00
188874.00	0.00
188879.00	1.00
188885.00	0.00
188890.00	1.00
188891.00	0.00
188896.00	1.00
189132.00	0.00
189141.00	1.00
189160.00	0.00
189166.00	1.00
189180.00	0.00
189185.00	1.00
213482.00	0.00
213520.00	1.00
213521.00	0.00
213581.00	1.00
213582.00	0.00
213608.00	1.00
213630.00	0.00
213647.00	1.00
213648.00	0.00
213694.00	1.00
213697.00	0.00
213708.00	1.00
213709.00	0.00
213722.00	1.00
213723.00	0.00
213755.00	1.00
213757.00	0.00
213770.00	1.00
213771.00	0.00
213778.00	1.00
213779.00	0.00
213800.00	1.00
213801.00	0.00
213816.00	1.00
213817.00	0.00
213831.00	1.00
213832.00	0.00
213844.00	1.00
213845.00	0.00
213875.00	1.00
213877.00	0.00
213893.00	1.00
213894.00	0.00
213916.00	1.00
213917.00	0.00
213948.00	1.00
213950.00	0.00
213958.00	1.00
213959.00	0.00
213974.00	1.00
213975.00	0.00
214005.00	1.00
214006.00	0.00
214019.00	1.00
214021.00	0.00
214034.00	1.00
214036.00	0.00
214058.00	1.00
214059.00	0.00
214085.00	1.00
214086.00	0.00
214104.00	1.00
214106.00	0.00
214131.00	1.00
214133.00	0.00
214147.00	1.00
214148.00	0.00
214156.00	1.00
214157.00	0.00
214177.00	1.00
214179.00	0.00
214202.00	1.00
214203.00	0.00
