level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
3	8793555	8793805	#00ff0f	1.0	Fill	8213					333918
3	8794807	8795004	#ff0071	1.0	Fill	8214					270649
3	8795924	8795931	#df00ff	1.0	Fill	8217					333919
3	8798890	8798898	#df00ff	1.0	Fill	8224					14096
3	8801446	8801455	#df00ff	1.0	Fill	8231					14098
3	8803552	8803558	#1f00ff	1.0	Fill	8239					14100
3	8806056	8806063	#1f00ff	1.0	Fill	8246					14102
3	8809668	8809682	#1f00ff	1.0	Fill	8253					14104
3	8811813	8811821	#1f00ff	1.0	Fill	8260					333920
3	8814987	8814993	#1f00ff	1.0	Fill	8267					138335
3	8818938	8818944	#1f00ff	1.0	Fill	8274					138336
3	8823220	8823226	#1f00ff	1.0	Fill	8281					155940
3	8827681	8827687	#1f00ff	1.0	Fill	8288					155941
3	8832031	8832037	#1f00ff	1.0	Fill	8295					155942
3	8836401	8836410	#1f00ff	1.0	Fill	8302					155943
3	8840918	8840923	#1f00ff	1.0	Fill	8309					96342
3	8845463	8845469	#1f00ff	1.0	Fill	8316					96343
3	8849957	8849970	#1f00ff	1.0	Fill	8323					96344
3	8856367	8856372	#1f00ff	1.0	Fill	8330					96345
3	8860834	8860839	#1f00ff	1.0	Fill	8337					96346
3	8865007	8865013	#1f00ff	1.0	Fill	8344					96347
3	8868940	8868946	#1f00ff	1.0	Fill	8351					96348
3	8872725	8872731	#1f00ff	1.0	Fill	8358					96349
3	8876854	8876865	#1f00ff	1.0	Fill	8365					96350
3	8880976	8880982	#1f00ff	1.0	Fill	8372					96351
3	8885069	8885074	#1f00ff	1.0	Fill	8379					96352
3	8889150	8889156	#1f00ff	1.0	Fill	8386					96353
3	8893212	8893217	#1f00ff	1.0	Fill	8393					96354
3	8899894	8899899	#1f00ff	1.0	Fill	8400					96355
3	8903703	8903713	#1f00ff	1.0	Fill	8407					333921
3	8906037	8906043	#1f00ff	1.0	Fill	8414					192016
3	8908050	8908056	#1f00ff	1.0	Fill	8421					192017
3	8910389	8910398	#1f00ff	1.0	Fill	8428					270650
3	8914472	8914477	#1f00ff	1.0	Fill	8435					270651
3	8918604	8918611	#1f00ff	1.0	Fill	8442					270652
3	8922414	8922417	#1f00ff	1.0	Fill	8449					270653
3	8927497	8927502	#1f00ff	1.0	Fill	8456					270654
3	8931288	8931293	#1f00ff	1.0	Fill	8463					353328
3	8934833	8934839	#1f00ff	1.0	Fill	8470					270655
3	8938709	8938717	#1f00ff	1.0	Fill	8477					270656
3	8942544	8942550	#1f00ff	1.0	Fill	8484					353329
3	8946118	8946123	#1f00ff	1.0	Fill	8491					353330
3	8949872	8949876	#1f00ff	1.0	Fill	8498					353331
3	8953475	8953482	#1f00ff	1.0	Fill	8505					14106
3	8958947	8958953	#1f00ff	1.0	Fill	8512					353332
3	8962485	8962490	#1f00ff	1.0	Fill	8519					270657
3	8965800	8965805	#1f00ff	1.0	Fill	8526					333922
3	8969478	8969485	#1f00ff	1.0	Fill	8533					14108
3	8984136	8984141	#1f00ff	1.0	Fill	8540					270658
3	8986894	8986899	#1f00ff	1.0	Fill	8547					270659
3	8989772	8989779	#1f00ff	1.0	Fill	8554					270660
3	8992620	8992625	#1f00ff	1.0	Fill	8561					270661
3	8996056	8996061	#1f00ff	1.0	Fill	8568					270662
3	8999296	8999301	#1f00ff	1.0	Fill	8575					270663
3	9003804	9003809	#1f00ff	1.0	Fill	8582					353333
3	9007835	9007843	#1f00ff	1.0	Fill	8589					96357
3	9011992	9011997	#1f00ff	1.0	Fill	8596					333923
3	9016667	9016676	#1f00ff	1.0	Fill	8603					353334
3	9021326	9021331	#1f00ff	1.0	Fill	8610					333924
3	9025626	9025630	#1f00ff	1.0	Fill	8617					353335
3	9031587	9031594	#1f00ff	1.0	Fill	8624					353336
3	9036220	9036225	#1f00ff	1.0	Fill	8631					353337
3	9040466	9040471	#1f00ff	1.0	Fill	8638					353338
3	9051629	9051637	#1f00ff	1.0	Fill	8645					353339
3	9055401	9055409	#1f00ff	1.0	Fill	8652					353340
3	9059043	9059048	#1f00ff	1.0	Fill	8659					353341
3	9062272	9062277	#1f00ff	1.0	Fill	8666					353342
3	9066447	9066451	#1f00ff	1.0	Fill	8673					96358
3	9073244	9073252	#1f00ff	1.0	Fill	8680					96359
3	9077953	9077957	#1f00ff	1.0	Fill	8687					96360
3	9082336	9082341	#1f00ff	1.0	Fill	8694					96361
3	9087123	9087128	#1f00ff	1.0	Fill	8701					96362
3	9091175	9091182	#1f00ff	1.0	Fill	8708					96363
3	9095847	9095852	#1f00ff	1.0	Fill	8715					96364
3	9100061	9100066	#1f00ff	1.0	Fill	8722					96365
3	9104205	9104210	#1f00ff	1.0	Fill	8729					96366
3	9110105	9110110	#1f00ff	1.0	Fill	8736					96367
3	9114133	9114138	#1f00ff	1.0	Fill	8743					96368
3	9118453	9118460	#1f00ff	1.0	Fill	8750					96369
3	9122933	9122938	#1f00ff	1.0	Fill	8757					96370
3	9127032	9127040	#1f00ff	1.0	Fill	8764					96371
3	9131847	9131852	#1f00ff	1.0	Fill	8771					96372
3	9135980	9135985	#1f00ff	1.0	Fill	8778					96373
3	9140410	9140415	#1f00ff	1.0	Fill	8785					96374
3	9146928	9146933	#1f00ff	1.0	Fill	8792					96375
3	9151433	9151439	#1f00ff	1.0	Fill	8799					96376
3	9156770	9156774	#1f00ff	1.0	Fill	8806					96377
3	9161643	9161647	#1f00ff	1.0	Fill	8813					96378
3	9167077	9167081	#1f00ff	1.0	Fill	8820					96379
3	9169545	9169552	#1f00ff	1.0	Fill	8827					14109
3	9171598	9171604	#1f00ff	1.0	Fill	8834					192018
3	9173435	9173441	#1f00ff	1.0	Fill	8841					270664
3	9175937	9175942	#1f00ff	1.0	Fill	8848					14111
3	9177760	9177766	#1f00ff	1.0	Fill	8855					14113
3	9179753	9179761	#1f00ff	1.0	Fill	8862					14114
3	9181977	9181986	#1f00ff	1.0	Fill	8869					47298
3	9185523	9185528	#1f00ff	1.0	Fill	8876					14116
3	9189229	9189234	#1f00ff	1.0	Fill	8883					14117
3	9193246	9193251	#1f00ff	1.0	Fill	8890					14119
3	9196315	9196323	#1f00ff	1.0	Fill	8897					14120
3	9200940	9200945	#1f00ff	1.0	Fill	8904					14122
3	9205636	9205641	#1f00ff	1.0	Fill	8911					47300
3	9209498	9209504	#1f00ff	1.0	Fill	8918					155944
3	9213392	9213397	#1f00ff	1.0	Fill	8925					96380
3	9217344	9217351	#1f00ff	1.0	Fill	8932					192019
3	9221300	9221305	#1f00ff	1.0	Fill	8939					47302
3	9224871	9224878	#1f00ff	1.0	Fill	8946					96381
3	9228831	9228836	#1f00ff	1.0	Fill	8953					192020
3	9235119	9235124	#1f00ff	1.0	Fill	8960					96383
3	9238740	9238748	#1f00ff	1.0	Fill	8967					96384
3	9243098	9243104	#1f00ff	1.0	Fill	8974					96385
3	9246283	9246287	#1f00ff	1.0	Fill	8981					155946
3	9249770	9249775	#1f00ff	1.0	Fill	8988					96387
3	9253782	9253789	#1f00ff	1.0	Fill	8995					192022
3	9256746	9256751	#1f00ff	1.0	Fill	9002					333925
3	9261689	9261694	#1f00ff	1.0	Fill	9009					96388
3	9266944	9266950	#1f00ff	1.0	Fill	9016					96389
3	9270813	9270820	#1f00ff	1.0	Fill	9023					47304
3	9274471	9274477	#1f00ff	1.0	Fill	9030					96391
3	9278015	9278020	#1f00ff	1.0	Fill	9037					96392
3	9282119	9282127	#1f00ff	1.0	Fill	9044					14124
3	9286249	9286254	#1f00ff	1.0	Fill	9051					96394
3	9289944	9289949	#1f00ff	1.0	Fill	9058					96395
3	9293700	9293706	#1f00ff	1.0	Fill	9065					96396
3	9296153	9296158	#1f00ff	1.0	Fill	9072					270665
3	9298189	9298197	#1f00ff	1.0	Fill	9079					47306
3	9307624	9307633	#1f00ff	1.0	Fill	9086					96397
3	9310773	9310782	#1f00ff	1.0	Fill	9093					138337
3	9313982	9313990	#1f00ff	1.0	Fill	9100					155947
3	9317201	9317206	#1f00ff	1.0	Fill	9107					138339
3	9319657	9319662	#1f00ff	1.0	Fill	9114					138340
3	9322059	9322066	#1f00ff	1.0	Fill	9121					138342
3	9325273	9325278	#1f00ff	1.0	Fill	9128					96399
3	9329031	9329036	#1f00ff	1.0	Fill	9135					47308
3	9333399	9333404	#1f00ff	1.0	Fill	9142					96401
3	9336803	9336810	#1f00ff	1.0	Fill	9149					96402
3	9339972	9339977	#1f00ff	1.0	Fill	9156					47309
3	9344136	9344141	#1f00ff	1.0	Fill	9163					192023
3	9346892	9346897	#1f00ff	1.0	Fill	9170					353343
3	9351475	9351480	#1f00ff	1.0	Fill	9177					96404
3	9355653	9355658	#1f00ff	1.0	Fill	9184					14125
3	9360401	9360409	#1f00ff	1.0	Fill	9191					14127
3	9364485	9364490	#1f00ff	1.0	Fill	9198					96406
3	9368429	9368439	#1f00ff	1.0	Fill	9205					96407
3	9378472	9378477	#1f00ff	1.0	Fill	9212					333926
3	9381082	9381087	#1f00ff	1.0	Fill	9219					96408
3	9383345	9383351	#1f00ff	1.0	Fill	9226					333927
3	9385757	9385762	#1f00ff	1.0	Fill	9233					155948
3	9389864	9389872	#1f00ff	1.0	Fill	9240					47310
3	9393319	9393325	#1f00ff	1.0	Fill	9247					14129
3	9397193	9397198	#1f00ff	1.0	Fill	9254					47312
3	9401391	9401396	#1f00ff	1.0	Fill	9261					96410
3	9405067	9405073	#1f00ff	1.0	Fill	9268					353344
3	9409319	9409327	#1f00ff	1.0	Fill	9275					96411
3	9412418	9412423	#1f00ff	1.0	Fill	9282					96412
3	9415649	9415653	#1f00ff	1.0	Fill	9289					138343
3	9421512	9421517	#1f00ff	1.0	Fill	9296					96413
3	9425560	9425568	#1f00ff	1.0	Fill	9303					333928
3	9429190	9429195	#1f00ff	1.0	Fill	9310					96415
3	9439569	9439577	#1f00ff	1.0	Fill	9317					14130
3	9442229	9442235	#1f00ff	1.0	Fill	9324					14131
3	9444463	9444468	#1f00ff	1.0	Fill	9331					14132
3	9446640	9446648	#1f00ff	1.0	Fill	9338					47313
3	9449369	9449374	#1f00ff	1.0	Fill	9345					96416
3	9454019	9454023	#1f00ff	1.0	Fill	9352					47315
3	9458378	9458383	#1f00ff	1.0	Fill	9359					96417
3	9462045	9462050	#1f00ff	1.0	Fill	9366					14134
3	9465352	9465359	#1f00ff	1.0	Fill	9373					96419
3	9470048	9470053	#1f00ff	1.0	Fill	9380					192024
3	9474119	9474124	#1f00ff	1.0	Fill	9387					96420
3	9478233	9478239	#1f00ff	1.0	Fill	9394					96422
3	9482004	9482009	#1f00ff	1.0	Fill	9401					96423
3	9487210	9487218	#1f00ff	1.0	Fill	9408					47317
3	9490950	9490955	#1f00ff	1.0	Fill	9415					96424
3	9494028	9494037	#1f00ff	1.0	Fill	9422					333929
3	9504529	9504534	#1f00ff	1.0	Fill	9429					14135
3	9506699	9506704	#1f00ff	1.0	Fill	9436					96426
3	9509265	9509270	#1f00ff	1.0	Fill	9443					353345
3	9511422	9511427	#1f00ff	1.0	Fill	9450					96427
3	9515334	9515339	#1f00ff	1.0	Fill	9457					96428
3	9520921	9520926	#1f00ff	1.0	Fill	9464					96429
3	9525071	9525078	#1f00ff	1.0	Fill	9471					96430
3	9528973	9528978	#1f00ff	1.0	Fill	9478					96432
3	9533081	9533085	#1f00ff	1.0	Fill	9485					96433
3	9536304	9536309	#1f00ff	1.0	Fill	9492					47319
3	9540320	9540325	#1f00ff	1.0	Fill	9499					353346
3	9544289	9544295	#1f00ff	1.0	Fill	9506					333930
3	9548882	9548889	#1f00ff	1.0	Fill	9513					47321
3	9554236	9554241	#1f00ff	1.0	Fill	9520					96434
3	9557915	9557922	#1f00ff	1.0	Fill	9527					333931
3	9562018	9562023	#1f00ff	1.0	Fill	9534					47323
3	9572200	9572208	#1f00ff	1.0	Fill	9541					14136
