time	count
0.00	0.00
11064.00	0.12
11126.00	0.00
11160.00	0.12
11272.00	0.00
11621.00	0.12
11663.00	0.00
11751.00	0.25
12314.00	0.38
12339.00	0.25
25646.00	0.00
26205.00	0.12
26237.00	0.00
26371.00	0.12
26372.00	0.00
26427.00	0.12
26439.00	0.00
27210.00	0.12
27216.00	0.00
28089.00	0.25
28153.00	0.00
28218.00	0.12
28237.00	0.00
28399.00	0.12
28402.00	0.00
28479.00	0.12
28480.00	0.00
28546.00	0.12
28563.00	0.00
28743.00	0.12
28744.00	0.00
28964.00	0.12
28966.00	0.00
29061.00	0.12
29062.00	0.00
29142.00	0.12
29143.00	0.00
29208.00	0.12
29209.00	0.00
29342.00	0.00
29505.00	0.12
29506.00	0.00
29840.00	0.12
29909.00	0.00
29941.00	0.12
29943.00	0.00
30006.00	0.12
30022.00	0.00
30117.00	0.12
30118.00	0.00
30172.00	0.12
30173.00	0.00
30746.00	0.12
30747.00	0.25
30748.00	0.12
30828.00	0.25
30841.00	0.38
30846.00	0.25
30854.00	0.12
30996.00	0.25
31000.00	0.12
31025.00	0.25
31026.00	0.12
31179.00	0.25
31250.00	0.12
31337.00	0.25
31340.00	0.12
31470.00	0.25
31471.00	0.12
31592.00	0.25
31593.00	0.12
31685.00	0.25
31686.00	0.12
31843.00	0.25
31844.00	0.12
31972.00	0.25
32129.00	0.12
32217.00	0.25
32219.00	0.12
32501.00	0.25
32504.00	0.12
32614.00	0.25
32615.00	0.12
32732.00	0.25
32740.00	0.12
32833.00	0.25
32834.00	0.12
33508.00	0.25
33510.00	0.12
33600.00	0.25
33602.00	0.12
33772.00	0.25
33773.00	0.12
129931.00	0.25
129937.00	0.12
130057.00	0.25
136584.00	0.12
137454.00	0.00
137541.00	0.12
137556.00	0.00
137658.00	0.12
137664.00	0.00
138135.00	0.12
138138.00	0.00
138255.00	0.12
138259.00	0.00
138312.00	0.12
138316.00	0.00
138339.00	0.12
138342.00	0.00
138486.00	0.12
138491.00	0.00
142162.00	0.12
142185.00	0.00
142190.00	0.12
142192.00	0.00
142414.00	0.12
142416.00	0.00
142635.00	0.12
142654.00	0.00
142849.00	0.12
142851.00	0.00
142930.00	0.12
142932.00	0.00
142995.00	0.12
142998.00	0.00
143072.00	0.12
143073.00	0.00
143129.00	0.12
143144.00	0.00
143154.00	0.12
143156.00	0.00
143373.00	0.25
143448.00	0.38
143450.00	0.25
143547.00	0.38
143559.00	0.25
143688.00	0.38
143689.00	0.25
143837.00	0.38
143839.00	0.25
144037.00	0.38
144039.00	0.25
144156.00	0.38
144157.00	0.25
144207.00	0.38
144208.00	0.25
144257.00	0.38
144258.00	0.25
144314.00	0.38
144316.00	0.25
144347.00	0.38
144350.00	0.25
144497.00	0.38
144553.00	0.50
144556.00	0.38
144663.00	0.50
144664.00	0.38
144812.00	0.50
144813.00	0.38
144949.00	0.50
144950.00	0.38
145015.00	0.50
145025.00	0.38
145173.00	0.50
145174.00	0.38
148107.00	0.25
148226.00	0.38
148231.00	0.25
148273.00	0.38
148275.00	0.25
148403.00	0.38
148417.00	0.25
150276.00	0.38
150280.00	0.25
159200.00	0.00
159353.00	0.25
159367.00	0.38
159370.00	0.25
159458.00	0.38
159462.00	0.25
159576.00	0.38
159596.00	0.25
195704.00	0.00
195786.00	0.12
195788.00	0.00
195891.00	0.12
195897.00	0.00
195953.00	0.12
195954.00	0.00
196052.00	0.12
196054.00	0.00
197220.00	0.12
197225.00	0.00
197280.00	0.12
197284.00	0.00
197305.00	0.12
197308.00	0.00
197499.00	0.12
197500.00	0.00
197739.00	0.12
197744.00	0.00
198342.00	0.12
198371.00	0.00
198420.00	0.12
198421.00	0.00
198500.00	0.12
198501.00	0.00
198907.00	0.12
198918.00	0.00
198957.00	0.12
198960.00	0.00
198979.00	0.12
198980.00	0.00
199048.00	0.12
199050.00	0.00
199085.00	0.12
199086.00	0.00
199151.00	0.12
199153.00	0.00
199444.00	0.12
199445.00	0.00
199726.00	0.12
199770.00	0.25
199775.00	0.12
199863.00	0.25
199868.00	0.12
199920.00	0.25
199921.00	0.12
200082.00	0.00
213611.00	0.12
213617.00	0.00
213685.00	0.12
213687.00	0.00
213720.00	0.12
213723.00	0.00
213745.00	0.12
213759.00	0.00
213781.00	0.12
213784.00	0.00
213803.00	0.12
213806.00	0.00
213827.00	0.12
213830.00	0.00
213915.00	0.12
213916.00	0.00
213942.00	0.00
213965.00	0.12
213967.00	0.00
213996.00	0.12
213997.00	0.00
214027.00	0.12
214028.00	0.00
214051.00	0.12
214058.00	0.00
214083.00	0.12
214099.00	0.00
214130.00	0.12
214131.00	0.00
214154.00	0.12
214157.00	0.00
214175.00	0.12
214177.00	0.00
214200.00	0.12
214201.00	0.00
214224.00	0.12
214225.00	0.00
214252.00	0.00
214280.00	0.12
214290.00	0.00
214302.00	0.12
214303.00	0.00
214330.00	0.12
214332.00	0.00
214367.00	0.12
214368.00	0.00
214430.00	0.00
214454.00	0.12
214455.00	0.00
214484.00	0.12
214485.00	0.00
214513.00	0.12
214514.00	0.00
214544.00	0.12
214550.00	0.00
214567.00	0.12
214569.00	0.00
214584.00	0.12
214585.00	0.00
214633.00	0.12
214634.00	0.00
214666.00	0.12
214667.00	0.00
214712.00	0.12
214729.00	0.00
214733.00	0.12
214734.00	0.00
214758.00	0.12
214759.00	0.00
214789.00	0.12
214790.00	0.00
214826.00	0.12
214827.00	0.00
214860.00	0.12
214861.00	0.00
214888.00	0.12
214894.00	0.00
214915.00	0.12
214916.00	0.00
214932.00	0.12
214933.00	0.00
214969.00	0.12
214970.00	0.00
214998.00	0.12
214999.00	0.00
215036.00	0.12
215037.00	0.00
215059.00	0.12
215060.00	0.00
215086.00	0.12
215088.00	0.00
215096.00	0.12
215108.00	0.00
215128.00	0.12
215142.00	0.00
215192.00	0.12
215205.00	0.00
215216.00	0.12
215218.00	0.00
215245.00	0.12
215246.00	0.00
215265.00	0.12
215266.00	0.00
215296.00	0.12
215297.00	0.00
215331.00	0.00
215360.00	0.12
215367.00	0.00
215380.00	0.12
215381.00	0.00
215406.00	0.12
215416.00	0.00
215433.00	0.12
215435.00	0.00
215463.00	0.12
215464.00	0.00
215492.00	0.12
215493.00	0.00
215521.00	0.12
215522.00	0.00
215544.00	0.12
215545.00	0.00
215573.00	0.12
215574.00	0.00
215601.00	0.12
215602.00	0.00
215620.00	0.12
215628.00	0.00
215650.00	0.12
215651.00	0.00
215681.00	0.12
215682.00	0.00
215720.00	0.12
215721.00	0.00
215751.00	0.12
215752.00	0.00
215785.00	0.12
215786.00	0.00
215814.00	0.12
215815.00	0.00
215837.00	0.12
215838.00	0.00
215868.00	0.12
215874.00	0.00
215900.00	0.12
215901.00	0.00
215923.00	0.12
215924.00	0.00
215958.00	0.12
215968.00	0.00
216050.00	0.12
216052.00	0.00
216083.00	0.12
216084.00	0.00
216103.00	0.12
216104.00	0.00
216145.00	0.12
216147.00	0.00
216210.00	0.12
216211.00	0.00
216236.00	0.12
216238.00	0.00
216265.00	0.12
216266.00	0.00
216294.00	0.12
216295.00	0.00
216324.00	0.12
216326.00	0.00
216353.00	0.12
216354.00	0.00
216382.00	0.12
216383.00	0.00
216412.00	0.12
216413.00	0.00
216445.00	0.12
216446.00	0.00
216527.00	0.12
216537.00	0.00
216552.00	0.12
216561.00	0.00
216586.00	0.12
216588.00	0.00
216618.00	0.12
216620.00	0.00
216653.00	0.12
216654.00	0.00
216713.00	0.12
216715.00	0.00
216749.00	0.12
216751.00	0.00
216780.00	0.12
216781.00	0.00
216807.00	0.12
216808.00	0.00
216841.00	0.12
216842.00	0.00
216874.00	0.00
216909.00	0.12
216910.00	0.00
216970.00	0.12
216978.00	0.00
217036.00	0.12
217038.00	0.00
217062.00	0.12
217063.00	0.00
217092.00	0.12
217100.00	0.00
217115.00	0.12
217135.00	0.00
217204.00	0.12
217205.00	0.00
217236.00	0.12
217237.00	0.00
217264.00	0.12
217265.00	0.00
