time	count
0.00	0.00
29282.00	0.00
30940.00	0.00
31765.00	0.00
134184.00	0.00
135452.00	0.00
136214.00	0.00
187728.00	0.26
188993.00	0.26
2988839.00	0.26
2991778.00	0.26
3318003.00	0.26
3323569.00	0.26
3326271.00	0.26
3333276.00	0.26
3336585.00	0.26
4005748.00	0.26
4075795.00	0.26
4081263.00	0.26
4086812.00	0.26
4093815.00	0.26
4100506.00	0.26
4106038.00	0.26
4726181.00	0.26
4729397.00	0.26
4731736.00	0.26
4743292.00	0.26
4749108.00	0.26
4751289.00	0.26
5093262.00	0.26
5099654.00	0.26
5104852.00	0.26
5111524.00	0.26
5146991.00	0.26
5152707.00	0.26
5156974.00	0.26
5163037.00	0.26
5168355.00	0.26
5172182.00	0.26
5178176.00	0.26
5184892.00	0.26
5190349.00	0.26
5193834.00	0.26
5198655.00	0.26
5203249.00	0.26
5207152.00	0.26
5211669.00	0.26
5216045.00	0.26
5224299.00	0.26
5228014.00	0.26
5230947.00	0.26
5236017.00	0.26
5239441.00	0.26
5242810.00	0.26
5246380.00	0.26
5250584.00	0.26
5254455.00	0.26
5256797.00	0.26
5260729.00	0.26
5264792.00	0.26
5267813.00	0.26
5271730.00	0.26
5277946.00	0.26
5283031.00	0.26
5294172.00	0.26
5297325.00	0.26
5299868.00	0.26
5304810.00	0.26
5308365.00	0.26
5311598.00	0.26
5315024.00	0.26
5321885.00	0.26
5326548.00	0.26
5331562.00	0.26
5336210.00	0.26
5340784.00	0.26
5343869.00	0.26
5347431.00	0.26
5352139.00	0.26
5361325.00	0.26
5364732.00	0.26
5368008.00	0.26
5372551.00	0.26
5376471.00	0.26
5379813.00	0.26
5384254.00	0.26
5389938.00	0.26
5394552.00	0.26
5397905.00	0.26
5402777.00	0.26
5406381.00	0.26
5409568.00	0.26
5412933.00	0.26
5417091.00	0.26
5421918.00	0.26
5431246.00	0.26
5447168.00	0.26
5451390.00	0.26
5454340.00	0.26
5459212.00	0.26
5463115.00	0.26
5465744.00	0.26
5469042.00	0.26
5475501.00	0.26
5478815.00	0.26
5484464.00	0.26
5490454.00	0.26
5492391.00	0.26
5494962.00	0.26
5498593.00	0.26
5502851.00	0.26
5508369.00	0.26
5517961.00	0.26
5522059.00	0.26
5524784.00	0.26
5530806.00	0.26
5537964.00	0.26
5542371.00	0.26
5546998.00	0.26
5552834.00	0.26
5558223.00	0.26
5562205.00	0.26
5567179.00	0.26
5572302.00	0.26
5576669.00	0.26
5578876.00	0.26
5581515.00	0.26
5586266.00	0.26
5586935.00	0.26
5593317.00	0.26
5593731.00	0.26
5600666.00	0.26
5606967.00	0.26
5607393.00	0.26
5610107.00	0.26
5612641.00	0.26
5613866.00	0.26
5616348.00	0.26
5620865.00	0.26
5624486.00	0.26
5628684.00	0.26
5633795.00	0.26
5638759.00	0.26
5642529.00	0.26
5649451.00	0.26
5654102.00	0.26
5657714.00	0.26
5661603.00	0.26
5666484.00	0.26
5673131.00	0.26
5678343.00	0.26
5681863.00	0.26
5687140.00	0.26
5691893.00	0.26
5696526.00	0.26
5700947.00	0.26
5706948.00	0.26
5711101.00	0.26
5714598.00	0.26
5720286.00	0.26
5724431.00	0.26
5727724.00	0.26
5731319.00	0.26
5736014.00	0.26
5741713.00	0.26
5752457.00	0.26
5766660.00	0.26
5789393.00	0.26
5794338.00	0.26
5797115.00	0.26
5802511.00	0.26
5805619.00	0.26
5808885.00	0.26
5812850.00	0.26
5819550.00	0.26
5822763.00	0.26
5825152.00	0.26
5828668.00	0.26
5831448.00	0.26
5833561.00	0.26
5836948.00	0.26
5840410.00	0.26
